"InvID","PlotID","Treenum","Invdate","Species","Dbh","Theight","Crclass","Heightcb","Damdis","Folqual","Comment","Radgro10","Radgro5","Weight"
5,"0001-00205",15,"1999-06-21 00:00:00","WF",3.70000004768372,19,"S",16,"J","PT","1/100",-9,-9,100
5,"0001-00205",16,"1999-06-21 00:00:00","WF",20.6000003814697,126,"C",64,"B","N","WITNESS AZ291DIST25.1'",-9,-9,10
5,"0001-00205",17,"1999-06-21 00:00:00","WF",15,118,"C",71,"BS","N","",-9,-9,10
5,"0001-00205",19,"1999-06-21 00:00:00","CO",6.40000009536743,38,"S",22,"H","N","",-9,-9,10
5,"0001-00205",22,"1999-06-21 00:00:00","WF",17.3999996185303,110,"I",79,"S","N","",-9,-9,10
5,"0001-00205",23,"1999-06-21 00:00:00","WF",23.5,146,"D",96,"H","N","",-9,-9,10
6,"0001-00206",1,"1998-06-22 00:00:00","BO",14.3999996185303,54,"D",23,"F","N","",-9,-9,10
6,"0001-00206",2,"1998-06-22 00:00:00","BO",5.40000009536743,42,"I",15,"L","N","",-9,-9,10
6,"0001-00206",4,"1998-06-22 00:00:00","WF",5.09999990463257,29,"I",9,"H","N","",-9,-9,10
6,"0001-00206",5,"1998-06-22 00:00:00","WF",0.5,6,"S",2,"KS","N","1/100",-9,-9,100
6,"0001-00206",6,"1998-06-22 00:00:00","WF",9.10000038146973,35,"C",14,"H","N","",-9,-9,10
6,"0001-00206",7,"1998-06-22 00:00:00","IC",5.40000009536743,20,"S",5,"R","N","",-9,-9,10
6,"0001-00206",8,"1998-06-22 00:00:00","WF",5.90000009536743,28,"I",8,"S","N","1/100: WITNESS AZ43DIST8.5'",-9,-9,10
6,"0001-00206",9,"1998-06-22 00:00:00","WF",4.59999990463257,24,"I",9,"J","N","1/100",-9,-9,10
6,"0001-00206",10,"1998-06-22 00:00:00","IC",7.30000019073486,29,"I",6,"H","N","",-9,-9,10
6,"0001-00206",11,"1998-06-22 00:00:00","CO",4.80000019073486,19,"I",2,"S","N","",-9,-9,10
6,"0001-00206",12,"1998-06-22 00:00:00","CO",5.19999980926514,19,"S",1,"T","N","TOP DEAD",-9,-9,10
6,"0001-00206",13,"1998-06-22 00:00:00","WF",8.39999961853027,42,"D",19,"H","N","",-9,-9,10
6,"0001-00206",14,"1998-06-22 00:00:00","CO",8,24,"I",12,"H","N","",-9,-9,10
6,"0001-00206",15,"1998-06-22 00:00:00","WF",0.600000023841858,7,"S",1,"FJS","N","1 FORK IS DEAD ",-9,-9,100
6,"0001-00206",16,"1998-06-22 00:00:00","CO",5,11,"I",5,"L","N","",-9,-9,10
6,"0001-00206",17,"1998-06-22 00:00:00","CO",6.19999980926514,25,"I",5,"H","N","",-9,-9,10
6,"0001-00206",18,"1998-06-22 00:00:00","CO",6.30000019073486,13,"I",5,"L","N","",-9,-9,10
6,"0001-00206",19,"1998-06-22 00:00:00","CO",20.2000007629395,34,"C",8,"FL","N","",-9,-9,10
6,"0001-00206",20,"1998-06-22 00:00:00","CO",6,24,"I",10,"H","N","",-9,-9,10
6,"0001-00206",21,"1998-06-22 00:00:00","CO",9.69999980926514,25,"I",12,"H","N","",-9,-9,10
6,"0001-00206",22,"1998-06-22 00:00:00","CO",9.60000038146973,30,"I",21,"H","N","",-9,-9,10
6,"0001-00206",23,"1998-06-22 00:00:00","CO",4.80000019073486,12,"S",8,"L","N","",-9,-9,10
6,"0001-00206",24,"1998-06-22 00:00:00","CO",6.59999990463257,23,"I",13,"FL","N","",-9,-9,10
