"InvID","PlotID","Invdate","Treenum","Species","dbh","Heartwood","Woodpeck","Barkcond","Theight","Cdeath","Yrdeath","Whard","Nesthole","SapWood","Weight","Comment"
117,"0001-00604","2011-06-06 00:00:00",11,"WF",13.5,"B","N",100,1,"R",9,-9,0,"C",100,""
120,"0001-00701","2011-06-05 00:00:00",5,"IC",22.8999996185303,"C","N",5,1,"D",4,-9,0,"C",10,"1/100"
120,"0001-00701","2011-06-05 00:00:00",11,"IC",9.10000038146973,"D","N",25,0,"D",4,-9,0,"E",100,"1/100"
120,"0001-00701","2011-06-05 00:00:00",12,"IC",15.1999998092651,"C","N",50,0,"D",4,-9,0,"E",100,"1/100"
120,"0001-00701","2011-06-05 00:00:00",16,"IC",25.7000007629395,"D","N",30,1,"D",4,-9,0,"E",10,""
120,"0001-00701","2011-06-05 00:00:00",17,"IC",25.7999992370605,"E","N",70,1,"D",4,-9,0,"D",10,""
121,"0001-00702","2011-06-04 00:00:00",34,"IC",22.6000003814697,"C","N",80,1,"R",9,-9,0,"C",10,""
122,"0001-00703","2011-06-05 00:00:00",4,"BO",29,"E","N",10,3,"P",9,-9,0,"D",10,"WITNESS DIST 18.9 AZ 186"
122,"0001-00703","2011-06-05 00:00:00",5,"IC",21,"A","N",100,2,"R",9,-9,0,"B",10,""
123,"0001-00704","2011-06-05 00:00:00",2,"WF",33,"C","N",100,2,"R",9,-9,0,"C",10,"WITNESS 19.6 AZ49"
123,"0001-00704","2011-06-05 00:00:00",6,"IC",23.7000007629395,"B","N",75,2,"D",4,-9,0,"C",10," "
126,"0001-00707","2011-06-05 00:00:00",1,"SP",24.5,"A","N",100,1,"R",4,-9,0,"A",10,"NEXT TO PLOT CENTER"
126,"0001-00707","2011-06-05 00:00:00",3,"PP",20,"E","N",0,1,"D",4,-9,0,"E",10,""
126,"0001-00707","2011-06-05 00:00:00",10,"IC",24,"A","N",100,2,"R",4,1,0,"B",10,""
126,"0001-00707","2011-06-05 00:00:00",14,"IC",24.7999992370605,"A","N",50,1,"R",4,-9,0,"B",10,""
127,"0001-01303","2011-08-03 00:00:00",1,"WF",26.6000003814697,"A","N",100,1,"R",4,-9,0,"A",10,""
127,"0001-01303","2011-08-03 00:00:00",8,"WF",27,"B","N",100,1,"R",4,-9,0,"B",10,""
127,"0001-01303","2011-08-03 00:00:00",10,"WF",41.7999992370605,"B","N",100,1,"R",4,-9,0,"B",10,"WITNESS AZ 134 DIST 12"
127,"0001-01303","2011-08-03 00:00:00",12,"WF",34,"B","N",100,1,"R",4,-9,0,"B",10,""
134,"0001-00802","2012-09-17 00:00:00",8,"IC",25,"B","N",60,0,"R",4,-9,0,"B",10,""
134,"0001-00802","2012-09-17 00:00:00",10,"WF",21,"C","N",100,0,"R",4,-9,0,"D",10,""
135,"0001-00803","2012-09-17 00:00:00",4,"IC",30,"C","N",100,1,"D",4,-9,0,"C",10,""
135,"0001-00803","2012-09-17 00:00:00",11,"IC",24,"C","N",80,1,"R",4,-9,0,"C",10,""
135,"0001-00803","2012-09-17 00:00:00",20,"WF",28,"B","N",95,1,"R",4,-9,0,"B",10,""
136,"0001-00804","2012-09-17 00:00:00",2,"IC",28,"B","N",95,1,"R",4,-9,0,"B",10,"1/100"
136,"0001-00804","2012-09-17 00:00:00",20,"IC",24,"B","N",100,1,"R",4,-9,0,"B",10,""
136,"0001-00804","2012-09-17 00:00:00",28,"IC",8.5,"C","N",0,2,"D",4,-9,0,"E",100,"1/100"
136,"0001-00804","2012-09-17 00:00:00",30,"IC",22,"A","N",95,1,"R",4,-9,0,"B",10,""
136,"0001-00804","2012-09-17 00:00:00",33,"IC",27,"D","N",100,2,"D",4,-9,0,"D",10,""
138,"0001-00806","2012-09-16 00:00:00",5,"IC",33,"B","N",100,1,"R",4,-9,0,"B",10,""
138,"0001-00806","2012-09-16 00:00:00",12,"IC",29,"B","N",100,1,"R",4,-9,0,"B",10,""
144,"0001-00902","2012-09-18 00:00:00",6,"IC",30,"B","N",70,1,"R",4,-9,0,"B",10,""
144,"0001-00902","2012-09-18 00:00:00",7,"IC",21.5,"B","N",35,1,"R",4,-9,0,"B",10,""
144,"0001-00902","2012-09-18 00:00:00",8,"IC",26.5,"B","N",90,0,"R",4,-9,0,"B",10,""
146,"0001-00904","2012-09-16 00:00:00",8,"GS",56,"D","N",100,1,"D",4,-9,0,"D",10,"AZ 271"
148,"0001-00906","2012-09-16 00:00:00",7,"WF",25,"E","N",30,4,"D",4,-9,0,"E",10,"AZ 52"
149,"0001-00907","2012-09-15 00:00:00",16,"IC",17,"E","N",100,1,"D",4,-9,0,"A",100,"GRAFTED OVER;1-100"
152,"0001-00910","2012-06-05 00:00:00",8,"WF",1.5,"D","N",40,4,"D",4,-9,0,"D",100,""
162,"0001-01102","2012-09-18 00:00:00",3,"WF",21,"B","Y",90,1,"R",4,-9,0,"D",10,""
162,"0001-01102","2012-09-18 00:00:00",12,"WF",17,"B","N",80,0,"R",4,-9,0,"B",100,""
164,"0001-01204","2012-06-05 00:00:00",3,"WF",34,"C","N",100,1,"R",4,-9,0,"B",10,""
164,"0001-01204","2012-06-05 00:00:00",4,"WF",27,"B","N",80,1,"R",4,-9,0,"C",10,""
