"InvID","Plotid","Plotnum","InvYear","Invdate","Plotsize","Crew","Crew#","InvenType","TravelTime","TotalTime","Canopy","Pcomments"
7017,"0612-00002",2,"2016","2016-02-13 00:00:00",0.100000001490116,"CS CB",2,"PH",0.100000001490116,1,40,"2015 DATA UPDATED AFTER 2015 MASTICATION"
7018,"0270-00023",23,"2016","2016-02-13 00:00:00",0.100000001490116,"CS CB",2,"PH",0.200000002980232,1,48,"2013 DATA UPDATED AFTER 2105 MASTICATION; SKID THROUGH PLOT"
7019,"0270-00022",22,"2016","2016-02-13 00:00:00",0.100000001490116,"CS CB",2,"PH",0.100000001490116,1,48,"2013 DATA UPDATED AFTER 2015 MASTICATION; NO TAG"
7049,"0360-00002",2,"2012","2012-09-25 00:00:00",0.100000001490116,"AM KK",2,"N",0.100000001490116,1,64,""
7050,"0040-00003",3,"2016","2016-07-13 00:00:00",0.100000001490116,"BC HH ZM",2,"N",0.100000001490116,0.75,80,"BMS 0"
7051,"0040-00005",5,"2016","2016-07-18 00:00:00",0.100000001490116,"KB SK BC",3,"N",0.100000001490116,1.20000004768372,84,"BMS 0"
7052,"0040-00007",7,"2016","2016-07-21 00:00:00",0.100000001490116,"KB SK BC",3,"N",0.100000001490116,0.699999988079071,92,"BMS 0"
7053,"0040-00012",12,"2016","2016-07-21 00:00:00",0.100000001490116,"BC KB",2,"N",0.100000001490116,1.20000004768372,76,"BMS 0"
7054,"0040-00101",101,"2016","2016-07-18 00:00:00",0.100000001490116,"KB BC SK",3,"N",0.100000001490116,1.10000002384186,92,"BMS 0"
7055,"0040-00103",103,"2016","2016-07-18 00:00:00",0.100000001490116,"KB BC SK",3,"N",0.100000001490116,1.20000004768372,96,"BMS 0"
7056,"0040-00104",104,"2016","2016-07-18 00:00:00",0.100000001490116,"BC SK KB",3,"N",0.100000001490116,1,68,"BMS 0"
7057,"0040-00106",106,"2016","2016-07-15 00:00:00",0.100000001490116,"BC ZM",2,"N",0.100000001490116,0.899999976158142,80,"BMS- 0"
7058,"0040-00107",107,"2016","2016-07-15 00:00:00",0.100000001490116,"ZM BC",2,"N",0.100000001490116,1,76,"BMS2"
7059,"0040-00108",108,"2016","2016-07-15 00:00:00",0.100000001490116,"BC ZM",2,"N",0.100000001490116,1,96,"BMS-0"
7060,"0040-00109",109,"2016","2016-07-18 00:00:00",0.100000001490116,"KB BC KS",3,"N",0.100000001490116,0.699999988079071,80,"BMS 0"
7061,"0040-00110",110,"2016","2016-07-21 00:00:00",0.100000001490116,"BC KB SK",3,"N",0.100000001490116,0.75,96,"BMS 0"
7062,"0040-00111",111,"2016","2016-07-22 00:00:00",0.100000001490116,"KB BC EK",3,"N",0.300000011920929,0.800000011920929,80,"BMS-0"
7063,"0040-00112",112,"2016","2016-07-15 00:00:00",0.100000001490116,"ZM BC",2,"N",0.100000001490116,0.699999988079071,52,"BMS 5"
7064,"0040-00113",113,"2016","2016-07-18 00:00:00",0.100000001490116,"KB SK BC",3,"N",0.200000002980232,1.29999995231628,80,"BMS 5 & SKID TRAIL ON PLOT"
7065,"0040-00114",114,"2016","2016-07-22 00:00:00",0.100000001490116,"BC EK KB",3,"N",0.100000001490116,0.5,96,"BMS-0"
7066,"0040-00115",115,"2016","2016-07-21 00:00:00",0.100000001490116,"BC KB",2,"N",0.200000002980232,1.20000004768372,92,"BMS 0"
7067,"0040-00116",116,"2016","2016-07-21 00:00:00",0.100000001490116,"KB BC SK",3,"N",0.300000011920929,0.699999988079071,80,"BMS 0"
7068,"0060-00021",21,"2016","2016-08-09 00:00:00",0.100000001490116,"ZM BC KB",3,"N",0.100000001490116,0.5,60,"BMS0"
7069,"0060-00027",27,"2016","2016-08-10 00:00:00",0.100000001490116,"KB AB",2,"N",0.100000001490116,0.699999988079071,56,"BMS 0%"
7070,"0060-00101",101,"2016","2016-08-08 00:00:00",0.100000001490116,"VF AB",2,"N",0.200000002980232,1,84,"BMS 0"
7071,"0060-00102",102,"2016","2016-08-10 00:00:00",0.100000001490116,"HH ZM",2,"N",0.200000002980232,1.10000002384186,40,"BMS 0"
7072,"0060-00103",103,"2016","2016-08-08 00:00:00",0.100000001490116,"VF AB",2,"N",0.100000001490116,1.5,64,"BMS 10"
7073,"0060-00104",104,"2016","2016-08-08 00:00:00",0.100000001490116,"AB  VF",2,"N",0.100000001490116,1.20000004768372,64,"BMS 2"
7074,"0060-00105",105,"2016","2016-08-08 00:00:00",0.100000001490116,"AB VF",2,"N",0.200000002980232,1.10000002384186,76,"BMS 0"
7075,"0060-00106",106,"2016","2016-08-10 00:00:00",0.100000001490116,"ZM HH",2,"N",0.100000001490116,1,64,"BMS 0%"
