"InvID","PlotID","Invdate","Azimuth","Decay Factor","Size"
6698,"0540-00006","2013-07-08 00:00:00",291,"B",8
6698,"0540-00006","2013-07-08 00:00:00",291,"C",7
6702,"0551-00015","2013-10-25 00:00:00",33,"A",9
6703,"0551-00016","2013-10-28 00:00:00",218,"B",7
6703,"0551-00016","2013-10-28 00:00:00",218,"B",7
6704,"0551-00017","2013-10-28 00:00:00",164,"B",4
6704,"0551-00017","2013-10-28 00:00:00",104,"B",4
6705,"0551-00018","2013-10-25 00:00:00",160,"A",7
6709,"0570-00022","2013-07-11 00:00:00",97,"B",4
6709,"0570-00022","2013-07-11 00:00:00",97,"B",5
6710,"0570-00024","2013-07-11 00:00:00",177,"B",5
6710,"0570-00024","2013-07-11 00:00:00",237,"B",4
6711,"0590-00001","2013-07-12 00:00:00",352,"C",10
6711,"0590-00001","2013-07-12 00:00:00",352,"D",6
6711,"0590-00001","2013-07-12 00:00:00",52,"C",11
6711,"0590-00001","2013-07-12 00:00:00",52,"D",4
6712,"0590-00003","2013-07-15 00:00:00",308,"C",4
6713,"0590-00016","2013-07-15 00:00:00",106,"E",12
6713,"0590-00016","2013-07-15 00:00:00",106,"C",6
6713,"0590-00016","2013-07-15 00:00:00",106,"E",4
6713,"0590-00016","2013-07-15 00:00:00",106,"C",5
6713,"0590-00016","2013-07-15 00:00:00",106,"B",9
6713,"0590-00016","2013-07-15 00:00:00",106,"B",5
6713,"0590-00016","2013-07-15 00:00:00",166,"D",5
6713,"0590-00016","2013-07-15 00:00:00",166,"D",8
6714,"0590-00023","2013-07-12 00:00:00",179,"D",7
6714,"0590-00023","2013-07-12 00:00:00",179,"E",10
6717,"0040-00005","2014-07-10 00:00:00",310,"B",8
6717,"0040-00005","2014-07-10 00:00:00",10,"B",4
6718,"0040-00007","2014-07-10 00:00:00",340,"C",5
6718,"0040-00007","2014-07-10 00:00:00",340,"B",6
6718,"0040-00007","2014-07-10 00:00:00",340,"D",4
6719,"0040-00012","2014-07-10 00:00:00",222,"C",4
6720,"0060-00021","2014-08-21 00:00:00",166,"D",11
6720,"0060-00021","2014-08-21 00:00:00",226,"B",7
6720,"0060-00021","2014-08-21 00:00:00",226,"C",7
6720,"0060-00021","2014-08-21 00:00:00",226,"D",6
6722,"0123-00001","2014-09-11 00:00:00",126,"B",6
6722,"0123-00001","2014-09-11 00:00:00",126,"B",5
6722,"0123-00001","2014-09-11 00:00:00",126,"A",5
6722,"0123-00001","2014-09-11 00:00:00",66,"D",5
6722,"0123-00001","2014-09-11 00:00:00",66,"C",5
6723,"0123-00002","2014-09-11 00:00:00",56,"C",4
6723,"0123-00002","2014-09-11 00:00:00",56,"B",4
6723,"0123-00002","2014-09-11 00:00:00",56,"A",6
6723,"0123-00002","2014-09-11 00:00:00",56,"A",4
6723,"0123-00002","2014-09-11 00:00:00",56,"B",5
6723,"0123-00002","2014-09-11 00:00:00",56,"A",6
6723,"0123-00002","2014-09-11 00:00:00",116,"E",12
6723,"0123-00002","2014-09-11 00:00:00",116,"E",4
6724,"0123-00003","2014-09-10 00:00:00",348,"D",12
6724,"0123-00003","2014-09-10 00:00:00",348,"C",6
6724,"0123-00003","2014-09-10 00:00:00",348,"E",24
6724,"0123-00003","2014-09-10 00:00:00",48,"C",9
6724,"0123-00003","2014-09-10 00:00:00",48,"E",25
6725,"0123-00004","2014-09-10 00:00:00",15,"E",10
6725,"0123-00004","2014-09-10 00:00:00",75,"E",10
6725,"0123-00004","2014-09-10 00:00:00",75,"C",5
6725,"0123-00004","2014-09-10 00:00:00",75,"B",4
6725,"0123-00004","2014-09-10 00:00:00",75,"E",4
6725,"0123-00004","2014-09-10 00:00:00",75,"E",8
6726,"0123-00005","2014-09-10 00:00:00",11,"C",9
6726,"0123-00005","2014-09-10 00:00:00",11,"C",5
6726,"0123-00005","2014-09-10 00:00:00",11,"C",6
6726,"0123-00005","2014-09-10 00:00:00",11,"C",32
6726,"0123-00005","2014-09-10 00:00:00",11,"D",11
6726,"0123-00005","2014-09-10 00:00:00",11,"D",5
6726,"0123-00005","2014-09-10 00:00:00",71,"C",5
6726,"0123-00005","2014-09-10 00:00:00",71,"D",4
6726,"0123-00005","2014-09-10 00:00:00",71,"D",5
6726,"0123-00005","2014-09-10 00:00:00",71,"D",6
6726,"0123-00005","2014-09-10 00:00:00",71,"D",4
6726,"0123-00005","2014-09-10 00:00:00",71,"C",5
6726,"0123-00005","2014-09-10 00:00:00",71,"C",10
6726,"0123-00005","2014-09-10 00:00:00",71,"D",32
6727,"0123-00006","2014-09-10 00:00:00",200,"E",10
6727,"0123-00006","2014-09-10 00:00:00",200,"C",6
6727,"0123-00006","2014-09-10 00:00:00",140,"E",18
6727,"0123-00006","2014-09-10 00:00:00",140,"C",8
6727,"0123-00006","2014-09-10 00:00:00",140,"C",5
6729,"0123-00008","2014-09-09 00:00:00",212,"D",20
